Age,disuti_M,disuti_L,disuti_U,QL00_M,QL00_L,QL00_U,QL15_M,QL15_L,QL15_U,QL35_M,QL35_L,QL35_U,Batch
80,0.4522957681451506,0.4337556730564779,0.4718195936668943,0.127407652506514,0.11537273222784492,0.14143639343615408,0.12718724157193104,0.1151836839101609,0.1411949468337464,0.1269032877712143,0.11493700390349988,0.14087964832485608,0.3385947276838124
85,0.47737511652859277,0.45294562875339955,0.5033977645308964,0.13431063951717598,0.12080357778777584,0.1494590315421121,0.1340475444674702,0.1206044104598005,0.14912808434176394,0.1336992249426812,0.12034453175610717,0.14870004233728998,0.3385947276838124
90,0.5041315171868035,0.47284731530710755,0.5371418700011152,0.1415409453379668,0.12647785711987258,0.15872379268292627,0.1412333239597379,0.12620467631717844,0.15831376303150205,0.1408202692330779,0.1258604649522998,0.1577710802781327,0.3385947276838124
50,0.32661560064233414,0.31054915841657466,0.3437426332334893,0.10767974477538624,0.09678156304772165,0.11946495092311632,0.10760138903684456,0.09672079783472952,0.11936960559767927,0.10749890302755805,0.09664130253431803,0.119237499201764,0.6731992976274341
55,0.34473362771402877,0.33100305092993976,0.3596865708212164,0.11352218137651127,0.10206892009320788,0.12533425605892756,0.11342537232260227,0.10199463800526647,0.12521929632066306,0.11330294015086978,0.10189759170629775,0.12506900342297358,0.6731992976274341
60,0.3639675818480553,0.3521885985045917,0.37638114802844963,0.1195869896748234,0.10801778951478108,0.13174868449046592,0.1194678798438474,0.10792353166012203,0.1316212495956905,0.11931243351913748,0.10780028790386005,0.13145466431278546,0.6731992976274341
65,0.3840386477963642,0.37358680519190623,0.395203481945553,0.1260190636128981,0.11415778709894957,0.13893988809623384,0.1258739880931277,0.11403249646582184,0.13878247146030734,0.12568266679051704,0.1138687833726172,0.13857677290686687,0.6731992976274341
70,0.4054772678160936,0.39437039780418187,0.41710231974956424,0.13272168790972005,0.1204187898926163,0.14680349541309592,0.13254710482285698,0.12026379206502613,0.14659885538413842,0.13231822128211393,0.12006364552357313,0.14633158975103244,0.6731992976274341
75,0.4281095079874065,0.4148247037370545,0.4420634639401183,0.13984898695242598,0.126737047075518,0.15522849889863616,0.13963261712046096,0.12654894374718906,0.1549868495538791,0.13935453236686,0.1263033807729382,0.15467139170020458,0.6731992976274341
80,0.4517421512107255,0.4344577893972331,0.4703727999684733,0.14724740076507037,0.13292496176860819,0.16494827951457355,0.14698663322175348,0.13270606605510005,0.16463297054066248,0.14664432781924086,0.1324160598755395,0.16422166240117408,0.6731992976274341
85,0.4770069594900016,0.4543839781483699,0.501798232770376,0.15513904588108018,0.1395560081028179,0.17515856611501476,0.15481127040907128,0.13928988254142669,0.17476852211131522,0.15439419853411307,0.1389420654546208,0.17426010948021056,0.6731992976274341
90,0.5037196826739749,0.47497903445049544,0.5350138844829861,0.1635249292756017,0.1464142633278301,0.18564623503513408,0.16315644699907103,0.14611227770311352,0.18519347509610162,0.16265606160509608,0.1457191868160244,0.18465714114361353,0.6731992976274341
50,0.32580675774313306,0.3083145295130797,0.3442052779072248,0.09606431395693185,0.08706807330062387,0.10692337916727371,0.09599681653988174,0.08700689574505466,0.10684876081188067,0.09591061728393849,0.08692687755310823,0.10675115885633739,0.7844540746882558
55,0.3441560470548277,0.32914936107577697,0.3596290119274346,0.1011623116817787,0.09209777827099784,0.11207918631433186,0.10108208895327825,0.09202659706381655,0.11198897406606977,0.10097717926963766,0.09193351770148919,0.11187100786661854,0.7844540746882558
60,0.363609736655624,0.35097657243846786,0.37618001477572693,0.10660056044946922,0.09737972908158196,0.11787504540389344,0.10649302526279195,0.09729169223093258,0.11775050569190287,0.10635978506476232,0.09717581117448007,0.11758774673073398,0.7844540746882558
65,0.38405397636622385,0.373145965246287,0.395005051842089,0.11223567889828269,0.1026252974153118,0.12416897722407182,0.11210686960994262,0.1025140754118573,0.12402794869321604,0.11194145925834828,0.10236425601840296,0.12384366194458082,0.7844540746882558
